Employee-ID,Department,Job_Role,Gender,Age,Monthly-Salary,Months-Worked,Training Cost,Job-Satisfaction,Performance-Rating,Overtime,Attrition,Attrition-Reason,Total-Loss
EMP001,IT,Data Analyst,Female,24,"? 45,000.00",18,"? 30,000.00",4,4,No,No,-,"? 8,40,000.00"
EMP002,HR, HR Executive,Female,26,"? 38,000.00",12,"? 25,000.00",3,3,Yes,Yes,Work load,"? 4,81,000.00"
EMP003,Finance,Financial Analyst,Male,29,"? 62,000.00",36,"? 40,000.00",5,5,No,No,-,"? 22,72,000.00"
EMP004,Sales,Sales Executive,Male,25,"? 35,000.00",8,"? 20,000.00",2,3,Yes,Yes,Low Satisfaction,"? 3,00,000.00"
EMP005,IT,Software Developer,Male,31,"? 75,000.00",48,"? 50,000.00",4,4,No,No,-,"? 36,50,000.00"
EMP006,HR,Recruiter,Female,27,"? 42,000.00",15,"? 28,000.00",3,3,No,Yes,Career Growth,"? 6,58,000.00"
EMP007,Marketing,Marketing Executive,Female,23,"? 36,000.00",10,"? 22,000.00",2,3,Yes,Yes,Work load,"? 3,82,000.00"
EMP008,Operations,Operations Executive,Male,30,"? 48,000.00",30,"? 35,000.00",4,4,No,No,-,"? 14,75,000.00"
EMP009,IT,Data Analyst,Female,28,"? 55,000.00",24,"? 32,000.00",3,4,Yes,No,-,"? 13,52,000.00"
EMP010,Finance,Accountant,Female,32,"? 52,000.00",60,"? 45,000.00",5,5,No,No,-,"? 31,65,000.00"
EMP011,Sales,Sales Manager,Male,35,"? 68,000.00",72,"? 55,000.00",4,4,No,No,-,"? 49,51,000.00"
EMP012,HR,HR Executive,Male,24,"? 40,000.00",9,"? 24,000.00",2,2,Yes,Yes,Low Satisfaction,"? 3,84,000.00"
EMP013,IT,Software Developer,Female,27,"? 70,000.00",42,"? 48,000.00",4,5,No,Yes,Better Opportunity,"? 29,88,000.00"
EMP014,Marketing,Marketing Analyst,Male,29,"? 58,000.00",27,"? 30,000.00",3,4,No,No,-,"? 15,96,000.00"
EMP015,Operations,Operations manager,Female,38,"? 72,000.00",84,"? 60,000.00",5,5,No,No,-,"? 61,08,000.00"
